"GFP_bin","Condition","n_alleles","close_alleles"
"<100","Ctrl",1427,0.170988086895585
"<100","gRNA",1081,0.20536540240518
"100–299","Ctrl",1537,0.189329863370202
"100–299","gRNA",1681,0.300416418798334
"300–699","Ctrl",991,0.185671039354188
"300–699","gRNA",1351,0.332346410066617
"700–1999","Ctrl",840,0.182142857142857
"700–1999","gRNA",1068,0.337078651685393
"2000+","Ctrl",282,0.219858156028369
"2000+","gRNA",401,0.43640897755611
