"GFP_bin","Condition","n_cells","Avg_n_RNA_spots"
"<100","Ctrl",604,0.961920529801324
"<100","gRNA",472,1.1271186440678
"100–299","Ctrl",659,0.998482549317147
"100–299","gRNA",713,0.828892005610098
"300–699","Ctrl",424,0.976415094339623
"300–699","gRNA",570,0.857894736842105
"700–1999","Ctrl",357,1.19887955182073
"700–1999","gRNA",456,0.723684210526316
"2000+","Ctrl",121,0.87603305785124
"2000+","gRNA",166,0.524096385542169
