"frac_bin","light","n_cells","mean_total_rna_intensity","mean_RNAspot_number","norm_mean_rna_int"
"0","Ctrl",1376,5959.10252580374,1.04651162790698,100
"0","gRNA",1166,5618.70393949201,1.04888507718696,94.2877541569766
"(0–0.4)","Ctrl",255,7108.35016444735,1.17254901960784,119.285582580048
"(0–0.4)","gRNA",291,4895.16774742327,0.88659793814433,82.1460568303116
"[0.4–0.65)","Ctrl",395,4742.90456833186,0.886075949367089,79.5909207434245
"[0.4–0.65)","gRNA",507,4011.03675018173,0.73767258382643,67.309409979328
">=0.65","Ctrl",139,3667.45909970142,0.705035971223022,61.543816100173
">=0.65","gRNA",413,1997.23230269485,0.421307506053269,33.515655990924
