"light.x","rna_status","dna_status","n","fraction"
"Ctrl","Active","Close",46,0.118556701030928
"Ctrl","Active","Far",342,0.881443298969072
"Ctrl","Inactive","Close",182,0.149180327868852
"Ctrl","Inactive","Far",1038,0.850819672131148
"gRNA","Active","Close",79,0.161224489795918
"gRNA","Active","Far",411,0.838775510204082
"gRNA","Inactive","Close",729,0.315311418685121
"gRNA","Inactive","Far",1583,0.684688581314879
