"condition","n_cells","total_spots","avg_spots","mean_int","avg_spots_norm","mean_int_norm"
"Ctrl",1916,1548.33333333333,0.750732519233949,3559.16670030859,1,1
"Ctrl_Light",2428.66666666667,1608.33333333333,0.659645400729306,3704.58382386044,0.878669011703944,1.0408570701505
"sgSubtel",2387.66666666667,1762.66666666667,0.732654041639164,3591.32803034176,0.975918883048743,1.00903619659916
"sgSubtel+TERT",2567.33333333333,1846.33333333333,0.718262723480897,3858.22451128424,0.956749181737612,1.08402467098541
"sgSubtel+TERT_Light",2060,1127.33333333333,0.621609614469623,3642.46232772459,0.828004114040399,1.02340312618928
"sgSubtel_Light",2119,1465,0.696170599266463,3552.58583633285,0.927321757657226,0.998151009904882
"sgTERT",2300.33333333333,1349,0.582522397324934,3682.56643568314,0.775938676426782,1.0346709625497
"sgTERT_Light",2225.33333333333,1121.33333333333,0.552412826584097,3501.83633074088,0.735831754228233,0.983892193202769
