"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles","normalized_close_alleles"
7,19,"G19","RNA-Dark",2725,0.573144513586825,0.521796158960706,0.152043987568731,0.951365567273842
7,5,"G5","Dark",1924,0.555951524823993,0.51126595258072,0.159816576086957,1
9,19,"I19","RNA-Light",3262,0.534643008085469,0.473058253941452,0.207479252074793,1.29823361978361
9,5,"I5","Light",3276,0.548260339981835,0.497400257552863,0.174241670810542,1.09026031640008
