"","diff","lwr","upr","p adj"
"sgSubtel-No_sg",-0.0576944208999998,-0.184476682712765,0.0690878409127653,0.599016729619467
"sgSubtelo + sgTERT-No_sg",-0.0605076406999998,-0.156346022245959,0.0353307408459594,0.325178215255526
"sgTERT-No_sg",-0.17491390865,-0.301696170462765,-0.0481316468372349,0.00445629866380159
"sgSubtelo + sgTERT-sgSubtel",-0.00281321980000004,-0.129595481612765,0.123969042012765,0.999915212684894
"sgTERT-sgSubtel",-0.11721948775,-0.26875327422474,0.03431429872474,0.171153913988488
"sgTERT-sgSubtelo + sgTERT",-0.11440626795,-0.241188529762765,0.0123759938627649,0.0872745951723802
