"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",3,0.088099042535924,0.0293663475119747,4.93399866813205,0.0100342171296722
"factor2",1,0.0241012307351457,0.0241012307351457,4.04937795887154,0.0578511264747971
"factor1:factor2",3,0.00169920870681993,0.00056640290227331,0.0951644110423701,0.961822029948864
"Residuals",20,0.119036706279016,0.00595183531395082,NA,NA
