"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",3,0.0273589482603647,0.00911964942012155,0.577304590415402,0.636625756312492
"factor2",1,0.00901088218945509,0.00901088218945509,0.570419257585394,0.458895110576964
"factor1:factor2",3,0.00616734941110829,0.0020557831370361,0.130138011587478,0.941045586033016
"Residuals",20,0.315938919299411,0.0157969459649705,NA,NA
