"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
8,19,"H19","RNA-Light",2181,0.337867789804788,0.261616723054686,0.519527595884004
8,5,"H5","RNA-Dark",2406,0.432208493753168,0.330097597488692,0.371504802561366
