Condition,p,N
"<100,Ctrl",0.1709881,1427
"<100,gRNA",0.2053654,1081
"100–299,Ctrl",0.1893299,1537
"100–299,gRNA",0.3004164,1681
"300–699,Ctrl",0.185671,991
"300–699,gRNA",0.3323464,1351
"700–1999,Ctrl",0.1821429,840
"700–1999,gRNA",0.3370787,1068
"2000+,Ctrl",0.2198582,282
"2000+,gRNA",0.436409,401
