"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",4,31.7421957033876,7.9355489258469,4.08661338628911,0.00261771639194218
"factor2",1,23.3853789314025,23.3853789314025,12.0428975333063,0.000524743106857101
"factor1:factor2",4,50.2284185477687,12.5571046369422,6.46660141369922,3.47449568716659e-05
"Residuals",4537,8810.12762238828,1.94183989913782,NA,NA
