"","diff","lwr","upr","p adj"
"sgIDR3:Dark-No_sg:Dark",0.047411,0.0216906044231805,0.0731313955768195,0.00123183603757626
"sgIDR3+sgTCF3:Dark-No_sg:Dark",-0.0878659999999999,-0.113586395576819,-0.0621456044231804,1.35001662454615e-05
"sgTCF3:Dark-No_sg:Dark",-0.000564500000000079,-0.0262848955768196,0.0251558955768194,0.999999995374504
"No_sg:Light-No_sg:Dark",-0.00299000000000005,-0.0287103955768196,0.0227303955768195,0.999586837130303
"sgIDR3:Light-No_sg:Dark",0.0526224999999999,0.0269021044231804,0.0783428955768194,0.000595300704328561
"sgIDR3+sgTCF3:Light-No_sg:Dark",-0.173072,-0.19879239557682,-0.14735160442318,5.05598002353835e-08
"sgTCF3:Light-No_sg:Dark",-0.00328700000000004,-0.0290073955768196,0.0224333955768195,0.999242042893906
"sgIDR3+sgTCF3:Dark-sgIDR3:Dark",-0.135277,-0.160997395576819,-0.10955660442318,3.82813564514528e-07
"sgTCF3:Dark-sgIDR3:Dark",-0.0479755000000001,-0.0736958955768196,-0.0222551044231805,0.00113541190910316
"No_sg:Light-sgIDR3:Dark",-0.050401,-0.0761213955768195,-0.0246806044231805,0.000806113043461121
"sgIDR3:Light-sgIDR3:Dark",0.00521149999999992,-0.0205088955768196,0.0309318955768194,0.987989956799286
"sgIDR3+sgTCF3:Light-sgIDR3:Dark",-0.220483,-0.24620339557682,-0.19476260442318,1.76172587629253e-08
"sgTCF3:Light-sgIDR3:Dark",-0.050698,-0.0764183955768195,-0.0249776044231805,0.000773650863465591
"sgTCF3:Dark-sgIDR3+sgTCF3:Dark",0.0873014999999998,0.0615811044231803,0.113021895576819,1.41636465978978e-05
"No_sg:Light-sgIDR3+sgTCF3:Dark",0.0848759999999998,0.0591556044231803,0.110596395576819,1.74822780337758e-05
"sgIDR3:Light-sgIDR3+sgTCF3:Dark",0.1404885,0.11476810442318,0.166208895576819,2.60469085522352e-07
"sgIDR3+sgTCF3:Light-sgIDR3+sgTCF3:Dark",-0.0852060000000001,-0.11092639557682,-0.0594856044231806,1.69815058987943e-05
"sgTCF3:Light-sgIDR3+sgTCF3:Dark",0.0845789999999998,0.0588586044231803,0.110299395576819,1.79476484843955e-05
"No_sg:Light-sgTCF3:Dark",-0.00242549999999997,-0.0281458955768195,0.0232948955768195,0.999895116034693
"sgIDR3:Light-sgTCF3:Dark",0.053187,0.0274666044231805,0.0789073955768195,0.000552017662586057
"sgIDR3+sgTCF3:Light-sgTCF3:Dark",-0.1725075,-0.198227895576819,-0.14678710442318,5.13603142238139e-08
"sgTCF3:Light-sgTCF3:Dark",-0.00272249999999996,-0.0284428955768195,0.0229978955768196,0.999775394846318
"sgIDR3:Light-No_sg:Light",0.0556125,0.0298921044231804,0.0813328955768195,0.000401855917373184
"sgIDR3+sgTCF3:Light-No_sg:Light",-0.170082,-0.195802395576819,-0.14436160442318,5.51400070047947e-08
"sgTCF3:Light-No_sg:Light",-0.000296999999999992,-0.0260173955768195,0.0254233955768195,0.999999999948042
"sgIDR3+sgTCF3:Light-sgIDR3:Light",-0.2256945,-0.251414895576819,-0.19997410442318,1.55031513182635e-08
"sgTCF3:Light-sgIDR3:Light",-0.0559094999999999,-0.0816298955768195,-0.0301891044231804,0.000386821311378682
"sgTCF3:Light-sgIDR3+sgTCF3:Light",0.169785,0.14406460442318,0.195505395576819,5.56451212885278e-08
