"","diff","lwr","upr","p adj"
"sgIDR3-No_sg",0.05151175,-0.0014644719685629,0.104487971968563,0.0575879761055003
"sgIDR3+sgTCF3-No_sg",-0.128974,-0.181950221968563,-0.0759977780314371,5.37569425809181e-05
"sgTCF3-No_sg",-0.000430750000000035,-0.0534069719685629,0.0525454719685628,0.999994640412561
"sgIDR3+sgTCF3-sgIDR3",-0.18048575,-0.233461971968563,-0.127509528031437,1.66196676798513e-06
"sgTCF3-sgIDR3",-0.0519425,-0.104918721968563,0.00103372196856286,0.0552484828974568
"sgTCF3-sgIDR3+sgTCF3",0.12854325,0.075567028031437,0.181519471968563,5.55530621827449e-05
