"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",3,0.0710844349894999,0.0236948116631666,560.856004746156,1.2317038297797e-09
"factor2",1,0.00183642246225,0.00183642246225,43.4681051634907,0.000170621356182364
"factor1:factor2",3,0.00546715181225001,0.00182238393741667,43.1358133916683,2.76094033393133e-05
"Residuals",8,0.000337980679,4.2247584875e-05,NA,NA
