"condition","n_cells","total_spots","avg_spots","mean_int","avg_spots_norm","mean_int_norm"
"Ctrl",11678.6666666667,7399.66666666667,0.634750905977991,2541.18300350734,1,1
"Ctrl_Light",10811.3333333333,6980.33333333333,0.649603432818966,2382.97408275512,1.02339898486335,0.937742019943524
"sgSubtel+TERT",9590.33333333333,5338.33333333333,0.556751069240288,2093.51616727081,0.877117407784515,0.823835262702978
"sgSubtel+TERT_Light",10533.6666666667,5641,0.532796267354371,2073.9574636912,0.839378506334649,0.816138570433034
