dependent_variable,factor1,factor2
1,No_sg,Dark
0.991565226,No_sg,Light
1.151756384,gRNA,Dark
1.348971027,gRNA,Light
1,No_sg,Dark
0.951365503,No_sg,Light
1.090260336,gRNA,Dark
1.298233725,gRNA,Light
