"","diff","lwr","upr","p adj"
"[0.4–0.65):Ctrl-(0–0.4):Ctrl",-35.80867871,-70.491616383676,-1.12574103632397,0.0425121812027384
">=0.65:Ctrl-(0–0.4):Ctrl",-40.63661942,-75.319557093676,-5.95368174632395,0.0215032585448833
"0:Ctrl-(0–0.4):Ctrl",-11.73245645,-46.415394123676,22.950481223676,0.86125141797331
"(0–0.4):gRNA-(0–0.4):Ctrl",-38.075556325,-72.758493998676,-3.39261865132399,0.0307722861828522
"[0.4–0.65):gRNA-(0–0.4):Ctrl",-48.420495145,-83.103432818676,-13.737557471324,0.00761977713387729
">=0.65:gRNA-(0–0.4):Ctrl",-81.649217825,-116.332155498676,-46.966280151324,0.000217473337900675
"0:gRNA-(0–0.4):Ctrl",-24.206172855,-58.889110528676,10.476764818676,0.227862484058305
">=0.65:Ctrl-[0.4–0.65):Ctrl",-4.82794070999998,-39.510878383676,29.854996963676,0.998701247589848
"0:Ctrl-[0.4–0.65):Ctrl",24.07622226,-10.606715413676,58.759159933676,0.232032340729688
"(0–0.4):gRNA-[0.4–0.65):Ctrl",-2.26687761500001,-36.949815288676,32.416060058676,0.999991132165958
"[0.4–0.65):gRNA-[0.4–0.65):Ctrl",-12.611816435,-47.294754108676,22.071121238676,0.818422313612097
">=0.65:gRNA-[0.4–0.65):Ctrl",-45.840539115,-80.523476788676,-11.157601441324,0.0106492595346119
"0:gRNA-[0.4–0.65):Ctrl",11.602505855,-23.080431818676,46.285443528676,0.867136561878361
"0:Ctrl->=0.65:Ctrl",28.90416297,-5.77877470367604,63.587100643676,0.116097941720422
"(0–0.4):gRNA->=0.65:Ctrl",2.56106309499997,-32.1218745786761,37.244000768676,0.999979674208952
"[0.4–0.65):gRNA->=0.65:Ctrl",-7.78387572500003,-42.466813398676,26.899061948676,0.979118630831137
">=0.65:gRNA->=0.65:Ctrl",-41.012598405,-75.695536078676,-6.329660731324,0.020414591753172
"0:gRNA->=0.65:Ctrl",16.430446565,-18.2524911086761,51.113384238676,0.59725247507136
"(0–0.4):gRNA-0:Ctrl",-26.343099875,-61.026037548676,8.339837798676,0.168280427526113
"[0.4–0.65):gRNA-0:Ctrl",-36.688038695,-71.370976368676,-2.00510102132399,0.0374807437769104
">=0.65:gRNA-0:Ctrl",-69.916761375,-104.599699048676,-35.233823701324,0.000660809353220881
"0:gRNA-0:Ctrl",-12.473716405,-47.156654078676,22.209221268676,0.825471977443463
"[0.4–0.65):gRNA-(0–0.4):gRNA",-10.34493882,-45.027876493676,24.337998853676,0.917342228982817
">=0.65:gRNA-(0–0.4):gRNA",-43.5736615,-78.256599173676,-8.89072382632397,0.0143992024019007
"0:gRNA-(0–0.4):gRNA",13.86938347,-20.813554203676,48.552321143676,0.749772081395006
">=0.65:gRNA-[0.4–0.65):gRNA",-33.22872268,-67.911660353676,1.45421499367603,0.0617410134901538
"0:gRNA-[0.4–0.65):gRNA",24.21432229,-10.468615383676,58.897259963676,0.227603190936224
"0:gRNA->=0.65:gRNA",57.44304497,22.760107296324,92.125982643676,0.00254028914213811
