"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",3,5115.55523029214,1705.18507676405,22.196943292924,0.000311328809856211
"factor2",1,2713.039295483,2713.039295483,35.3165062337943,0.000344761677766983
"factor1:factor2",3,733.393436647565,244.464478882522,3.18227285051499,0.084612180745442
"Residuals",8,614.565727996478,76.8207159995597,NA,NA
