"light.x","rna_status","dna_status","n","fraction"
"Ctrl","Active","Close",53,0.128019323671498
"Ctrl","Active","Far",361,0.871980676328502
"Ctrl","Inactive","Close",209,0.171592775041051
"Ctrl","Inactive","Far",1009,0.828407224958949
"gRNA","Active","Close",67,0.168341708542714
"gRNA","Active","Far",331,0.831658291457286
"gRNA","Inactive","Close",545,0.355976485956891
"gRNA","Inactive","Far",986,0.644023514043109
