Condition,p,N
WT-Low-Dark,0.10213941,2946
WT-Low-Light,0.11067669,3388
WT-High-Dark,0.09663452,5132
WT-High-Light,0.10124864,3750
Olig-Low-Dark,0.10231959,3940
Olig-Low-Light,0.12057498,4682
Olig-High-Dark,0.1032361,4390
Olig-High-Light,0.10333926,5082
