"","WT-Low-Dark","WT-Low-Light","WT-High-Dark","WT-High-Light","Olig-Low-Dark","Olig-Low-Light","Olig-High-Dark","Olig-High-Light"
"WT-Low-Dark","NS","NS","NS","NS","NS","NS","NS","NS"
"WT-Low-Light","NS","NS","NS","NS","NS","NS","NS","NS"
"WT-High-Dark","NS","NS","NS","NS","NS","S","NS","NS"
"WT-High-Light","NS","NS","NS","NS","NS","NS","NS","NS"
"Olig-Low-Dark","NS","NS","NS","NS","NS","NS","NS","NS"
"Olig-Low-Light","NS","NS","S","NS","NS","NS","NS","NS"
"Olig-High-Dark","NS","NS","NS","NS","NS","NS","NS","NS"
"Olig-High-Light","NS","NS","NS","NS","NS","NS","NS","NS"
