"light","statistic","df","p_value"
"Dark",3.47686822798048,3,0.323774649709346
"Light",7.2284013832005,3,0.0649633903780002
"RNA-Dark",57.9860819087221,3,1.5826653746419e-12
"RNA-Light",155.394620967271,3,1.80681274259392e-33
