"light","category","n_expected","expected_fraction"
"Dark","All close",39.910281194756,0.00594847195867787
"Dark","Two close",541.070477957862,0.0806444472313984
"Dark","One close",2445.12820050001,0.364436834335255
"Dark","All distant",3683.22437368071,0.548970246474668
"Light","All close",46.4595014994834,0.00579922212276151
"Light","Two close",636.402638881761,0.0794377929868222
"Light","One close",2905.81621773803,0.362713183540571
"Light","All distant",4422.65497521406,0.552049801349845
"RNA-Dark","All close",62.0737407535234,0.00908839542511323
"RNA-Dark","Two close",706.125093015174,0.10338581156884
"RNA-Dark","One close",2677.52859170908,0.392024683998401
"RNA-Dark","All distant",3384.27257452222,0.495501109007646
"RNA-Light","All close",99.6685936167231,0.0146020306124027
"RNA-Light","Two close",924.31916909367,0.135418152428628
"RNA-Light","One close",2857.35588096249,0.418619311563582
"RNA-Light","All distant",2944.32302299378,0.431360505395387
