dependent_variable,factor1,factor2
0.640122,No_sg,Dark
0.694251,sgIDR3,Dark
0.646349,sgTCF3,Dark
0.550161,sgIDR3+sgTCF3,Dark
0.648701,No_sg,Dark
0.689394,sgIDR3,Dark
0.641345,sgTCF3,Dark
0.56293,sgIDR3+sgTCF3,Dark
0.633693,No_sg,Light
0.700182,sgIDR3,Light
0.637425,sgTCF3,Light
0.467552,sgIDR3+sgTCF3,Light
0.64915,No_sg,Light
0.693886,sgIDR3,Light
0.644824,sgTCF3,Light
0.475127,sgIDR3+sgTCF3,Light
