"condition","n_cells","total_spots","avg_spots","mean_int","avg_spots_norm","mean_int_norm"
"Ctrl",12205.6666666667,11426.6666666667,0.935652343664948,2885.73066791013,1,1
"Ctrl_Light",11237.3333333333,9482.33333333333,0.843428680838726,2547.76308789563,0.901433835493873,0.882883186649134
"sgSubtel+TERT",11554.6666666667,9376.66666666667,0.812053097034891,2210.09016984335,0.867900457400749,0.765868483299558
"sgSubtel+TERT_Light",11738.6666666667,8582.66666666667,0.730918585045923,2152.76638951424,0.781186078349269,0.746003919718986
