"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
8,19,"H19","c3-Light",2177,0.697839553974794,0.610230415417778,0.12143536121673
8,5,"H5","c3-Dark",3560,0.836953510213565,0.783152112209411,0.0805961510635219
9,19,"I19","c7-Light",3924,0.639178343762692,0.54476896254868,0.155772441248234
9,5,"I5","c7-Dark",4651,0.748911168960145,0.677001730407974,0.101053536873791
10,19,"J19","c15-Light",3063,0.72205963470098,0.645601904443371,0.111186786991316
10,5,"J5","c15-Dark",3725,0.816935641593558,0.754441181573812,0.094147227266378
