"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"factor1",1,0.111933271285937,0.111933271285937,112.325632257385,0.000448587772716134
"factor2",1,0.0151483339700219,0.0151483339700219,15.2014335977199,0.0175577766746825
"factor1:factor2",1,0.0267102267721042,0.0267102267721042,26.8038544344026,0.00661886594670877
"Residuals",4,0.00398602773156711,0.000996506932891778,NA,NA
