"","diff","lwr","upr","p adj"
"No_sg:Dark-gRNA:Dark",-0.12100836,-0.249515068707935,0.00749834870793464,0.0604973684705041
"gRNA:Light-gRNA:Dark",0.202594016,0.074087307292065,0.331100724707935,0.010394156708851
"No_sg:Light-gRNA:Dark",-0.1495429955,-0.278049704207935,-0.0210362867920652,0.0303114827567826
"gRNA:Light-No_sg:Dark",0.323602376,0.195095667292065,0.452109084707935,0.00178322874536274
"No_sg:Light-No_sg:Dark",-0.0285346354999998,-0.157041344207935,0.0999720732079351,0.804921232998792
"No_sg:Light-gRNA:Light",-0.3521370115,-0.480643720207935,-0.223630302792065,0.00128502672218744
