"condition","n_cells","total_spots","avg_spots","mean_int","avg_spots_norm","mean_int_norm"
"Ctrl",6858.33333333333,7160.66666666667,1.04819586095471,3436.62892178114,1,1
"Ctrl_Light",6976,7113.66666666667,1.03303014715274,3496.46080419462,0.985531603045865,1.01741005030665
"sgSubtel+TERT",8050.33333333333,7341,0.913255434588368,2718.46452514226,0.871264110656346,0.791026493408352
"sgSubtel+TERT_Light",7476,6951.33333333333,0.928706419777921,3051.68558934802,0.886004662269934,0.887988100782902
