"","diff","lwr","upr","p adj"
"[0.4–0.65):Ctrl-(0–0.4):Ctrl",-0.3075,-0.710163790120561,0.0951637901205615,0.16485662317753
">=0.65:Ctrl-(0–0.4):Ctrl",-0.2915,-0.694163790120561,0.111163790120562,0.200709663741001
"0:Ctrl-(0–0.4):Ctrl",-0.065,-0.467663790120561,0.337663790120561,0.996778764748149
"(0–0.4):gRNA-(0–0.4):Ctrl",-0.324,-0.726663790120561,0.0786637901205616,0.13423141285117
"[0.4–0.65):gRNA-(0–0.4):Ctrl",-0.45,-0.852663790120561,-0.0473362098794385,0.0279400520153845
">=0.65:gRNA-(0–0.4):Ctrl",-0.761,-1.16366379012056,-0.358336209879439,0.00103695607426779
"0:gRNA-(0–0.4):Ctrl",-0.1755,-0.578163790120561,0.227163790120562,0.676365326064721
">=0.65:Ctrl-[0.4–0.65):Ctrl",0.016,-0.386663790120561,0.418663790120561,0.999999711896127
"0:Ctrl-[0.4–0.65):Ctrl",0.2425,-0.160163790120561,0.645163790120561,0.356316717098545
"(0–0.4):gRNA-[0.4–0.65):Ctrl",-0.0165,-0.419163790120561,0.386163790120561,0.99999964340718
"[0.4–0.65):gRNA-[0.4–0.65):Ctrl",-0.1425,-0.545163790120561,0.260163790120561,0.835460818891799
">=0.65:gRNA-[0.4–0.65):Ctrl",-0.4535,-0.856163790120562,-0.0508362098794387,0.0267815165217429
"0:gRNA-[0.4–0.65):Ctrl",0.132,-0.270663790120561,0.534663790120561,0.877370989205787
"0:Ctrl->=0.65:Ctrl",0.2265,-0.176163790120561,0.629163790120561,0.423432556041811
"(0–0.4):gRNA->=0.65:Ctrl",-0.0325,-0.435163790120561,0.370163790120561,0.999962938903284
"[0.4–0.65):gRNA->=0.65:Ctrl",-0.1585,-0.561163790120562,0.244163790120561,0.762119056295739
">=0.65:gRNA->=0.65:Ctrl",-0.4695,-0.872163790120562,-0.0668362098794387,0.0220976928088606
"0:gRNA->=0.65:Ctrl",0.116,-0.286663790120561,0.518663790120561,0.929110066238853
"(0–0.4):gRNA-0:Ctrl",-0.259,-0.661663790120561,0.143663790120562,0.29558154575577
"[0.4–0.65):gRNA-0:Ctrl",-0.385,-0.787663790120561,0.0176637901205614,0.0623479533041538
">=0.65:gRNA-0:Ctrl",-0.696,-1.09866379012056,-0.293336209879439,0.00190879349367357
"0:gRNA-0:Ctrl",-0.1105,-0.513163790120561,0.292163790120561,0.943213812402645
"[0.4–0.65):gRNA-(0–0.4):gRNA",-0.126,-0.528663790120562,0.276663790120561,0.898593213850725
">=0.65:gRNA-(0–0.4):gRNA",-0.437,-0.839663790120562,-0.0343362098794388,0.032728430765195
"0:gRNA-(0–0.4):gRNA",0.1485,-0.254163790120561,0.551163790120561,0.80911986223868
">=0.65:gRNA-[0.4–0.65):gRNA",-0.311,-0.713663790120561,0.0916637901205614,0.157852904221285
"0:gRNA-[0.4–0.65):gRNA",0.2745,-0.128163790120561,0.677163790120561,0.246393737057164
"0:gRNA->=0.65:gRNA",0.5855,0.182836209879439,0.988163790120562,0.00590774988436704
