"","diff","lwr","upr","p adj"
"[0.4–0.65)-(0–0.4)",-23.076808765,-61.6962979544282,15.5426804244282,0.331242465114784
">=0.65-(0–0.4)",-42.10514046,-80.7246296494282,-3.48565127057183,0.0313829314117897
"0-(0–0.4)",1.06846351000002,-37.5510256794281,39.6879526994282,0.999789474880849
">=0.65-[0.4–0.65)",-19.028331695,-57.6478208844281,19.5911574944282,0.487503705519447
"0-[0.4–0.65)",24.145272275,-14.4742169144281,62.7647614644282,0.29607999595639
"0->=0.65",43.17360397,4.55411478057184,81.7930931594282,0.0271833874005338
