"","diff","lwr","upr","p adj"
"[0.4–0.65)-(0–0.4)",-0.21675,-0.619087794087601,0.185587794087601,0.41479574889446
">=0.65-(0–0.4)",-0.36425,-0.766587794087601,0.0380877940876009,0.080791426686567
"0-(0–0.4)",0.04175,-0.360587794087601,0.444087794087601,0.989337655603585
">=0.65-[0.4–0.65)",-0.1475,-0.549837794087601,0.254837794087601,0.702850647230372
"0-[0.4–0.65)",0.2585,-0.143837794087601,0.660837794087601,0.275509482584449
"0->=0.65",0.406,0.00366220591239907,0.808337794087601,0.0477190727610911
