dependent_variable,factor1,factor2
100,0,Ctrl
80.76481952,0,gRNA
104.1793426,(0–0.4),Ctrl
65.16774572,(0–0.4),gRNA
72.25663383,[0.4–0.65),Ctrl
59.31451379,[0.4–0.65),gRNA
80.64786453,>=0.65,Ctrl
26.65082901,>=0.65,gRNA
100,0,Ctrl
94.28774767,0,gRNA
119.2855703,(0–0.4),Ctrl
82.14605453,(0–0.4),gRNA
79.59092165,[0.4–0.65),Ctrl
67.30940882,[0.4–0.65),gRNA
61.54380953,>=0.65,Ctrl
33.51564824,>=0.65,gRNA
