"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
8,19,"H19","Light",2565,0.464219840118703,0.415756265909488,0.251324828263003
8,5,"H5","Dark",2130,0.47174303763154,0.425044033095351,0.246986528007563
9,19,"I19","RNA-Light",1356,0.34251416113928,0.287564492200158,0.456238361266294
9,5,"I5","RNA-Dark",1658,0.422826296496396,0.352889000818525,0.334807809640024
