"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
8,10,"H10","0h",5210,0.810483583578284,0.741965929663838,0.0955932719385037
8,12,"H12","1.5h",4455,0.740791449752632,0.639597665612566,0.125499600319744
8,14,"H14","3h",4473,0.717553291826208,0.593015380723478,0.133746833231414
8,16,"H16","6h",4190,0.689823742574512,0.564735391528036,0.136925960637301
