"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
9,20,"I20","OptoLoop-Light",2656,0.577914296475096,0.440223596338407,0.222708254089007
9,6,"I6","OptoLoop-Dark",2885,0.699162486407419,0.595579856682952,0.132809773123909
