"row","column","well_index","Condition","N_cells","mean_dist","median_dist","close_alleles"
8,19,"H19","OptoLoop-Light",3275,0.589053073795389,0.461677724603098,0.203907973526631
8,5,"H5","OptoLoop-Dark",3282,0.755378667631669,0.682866034112766,0.0839280173751163
9,19,"I19","LADL-Light",3563,0.653728866376551,0.555795701276305,0.149459193706981
9,5,"I5","LADL-Dark",3507,0.755712936411287,0.690392302348105,0.0906883747500714
