"frac_bin","light","n_cells","mean_total_rna_intensity","mean_RNAspot_number","norm_mean_rna_int"
"0","Ctrl",1686,3447.48002501176,1.10438908659549,100
"0","gRNA",1641,2784.35086070937,0.881170018281536,80.7648148940288
"(0–0.4)","Ctrl",259,3591.56205481202,1.10810810810811,104.179343426356
"(0–0.4)","gRNA",433,2246.64490931106,0.745958429561201,65.1677426123271
"[0.4–0.65)","Ctrl",382,2491.03347836084,0.780104712041885,72.2566471825268
"[0.4–0.65)","gRNA",524,2044.85632127282,0.643129770992366,59.3145226785133
">=0.65","Ctrl",135,2780.31921164946,0.992592592592593,80.6478700812768
">=0.65","gRNA",468,918.78195961624,0.337606837606838,26.6508276465824
